volume,issn,id,type,pages,title,authors,number,url,year,doi
24,1522-4600,10.1007/s00004-022-00603-1,article,503--522,Form Follows Parameter: Algorithmic-Thinking-Oriented Course for Early-stage Architectural Education,"Karolina Ostrowska-Wawryniuk, Marcin Strzała, Jan Słyk",2,https://doi.org/10.1007/s00004-022-00603-1,2022,10.1007/s00004-022-00603-1
24,1522-4600,10.1007/s00004-022-00608-w,article,701--716,Learning by Doing: Integrating Shape Grammar as a Visual Coding Tool in Architectural Curricula,Deena El-Mahdy,3,https://doi.org/10.1007/s00004-022-00608-w,2022,10.1007/s00004-022-00608-w
25,1522-4600,10.1007/s00004-023-00657-9,article,867--885,Application of Fabric Formwork based on a Truchet Tiling Pattern for Planar Surfaces,"Felicia Wagiri, Shen-Guan Shih, Kevin Harsono, Jia-Yang Lin",4,https://doi.org/10.1007/s00004-023-00657-9,2023,10.1007/s00004-023-00657-9
26,1522-4600,10.1007/s00004-024-00778-9,article,897--924,Translation of Form: a Model for Teaching Design Coding to Undergraduate Students,Funda Tan,4,https://doi.org/10.1007/s00004-024-00778-9,2024,10.1007/s00004-024-00778-9
37,1435-5655,10.1007/s00146-021-01183-3,article,331--353,A computational approach for creativity assessment of culinary products: the case of elBulli,"Antonio Jimenez-Mavillard, Juan Luis Suarez",1,https://doi.org/10.1007/s00146-021-01183-3,2022,10.1007/s00146-021-01183-3
37,1435-5655,10.1007/s00146-021-01252-7,article,1411--1425,How many angels can dance on the head of a pin? Understanding ‘alien’ thought,Natasha Lushetich,4,https://doi.org/10.1007/s00146-021-01252-7,2022,10.1007/s00146-021-01252-7
38,1435-5655,10.1007/s00146-021-01279-w,article,227--243,The widening rift between aesthetics and ethics in the design of computational things,"Sabrina Hauser, Johan Redström, Heather Wiltse",1,https://doi.org/10.1007/s00146-021-01279-w,2023,10.1007/s00146-021-01279-w
37,1435-5655,10.1007/s00146-021-01346-2,article,1131--1152,"Operative communication: project Cybersyn and the intersection of information design, interface design, and interaction design",Sebastian Vehlken,3,https://doi.org/10.1007/s00146-021-01346-2,2022,10.1007/s00146-021-01346-2
39,1435-5655,10.1007/s00146-022-01395-1,article,195--205,Challenges in enabling user control over algorithm-based services,Pascal D. König,1,https://doi.org/10.1007/s00146-022-01395-1,2024,10.1007/s00146-022-01395-1
38,1435-5655,10.1007/s00146-022-01500-4,article,1099--1110,Assemblage thinking as a methodology for studying urban AI phenomena,Yu-Shan Tseng,3,https://doi.org/10.1007/s00146-022-01500-4,2023,10.1007/s00146-022-01500-4
39,1435-5655,10.1007/s00146-023-01681-6,article,2307--2319,"Trust, understanding, and machine translation: the task of translation and the responsibility of the translator",Melvin Chen,5,https://doi.org/10.1007/s00146-023-01681-6,2024,10.1007/s00146-023-01681-6
39,1435-5655,10.1007/s00146-023-01716-y,article,2249--2258,Theory languages in designing artificial intelligence,"Pertti Saariluoma, Antero Karvonen",5,https://doi.org/10.1007/s00146-023-01716-y,2024,10.1007/s00146-023-01716-y
38,1435-5655,10.1007/s00146-023-01810-1,article,2119--2124,"Artificial thinking and doomsday projections: a discourse on trust, ethics and safety","Jeffrey White, Dietrich Brandt, Jan Söffner, Larry Stapleton",6,https://doi.org/10.1007/s00146-023-01810-1,2023,10.1007/s00146-023-01810-1
40,1435-5655,10.1007/s00146-023-01852-5,article,67--76,The sociotechnical entanglement of AI and values,"Deborah G. Johnson, Mario Verdicchio",1,https://doi.org/10.1007/s00146-023-01852-5,2025,10.1007/s00146-023-01852-5
,1435-5655,10.1007/s00146-024-01891-6,article,,Machine learning and human learning: a socio-cultural and -material perspective on their relationship and the implications for researching working and learning,"David Guile, Jelena Popov",,https://doi.org/10.1007/s00146-024-01891-6,2024,10.1007/s00146-024-01891-6
,1435-5655,10.1007/s00146-024-01980-6,article,,Organization philosophy: a study of organizational goodness in the age of human and artificial intelligence collaboration,Haruo H. Horaguchi,,https://doi.org/10.1007/s00146-024-01980-6,2024,10.1007/s00146-024-01980-6
,1435-5655,10.1007/s00146-024-02027-6,article,,“Game changer”: the AI advocacy discourse of 2023 in the US,"Shuya Pan, G. Thomas Goodnight, Xingzhi Zhao, Yifan Wang, Lezi Xie, Jinxi Zhang",,https://doi.org/10.1007/s00146-024-02027-6,2024,10.1007/s00146-024-02027-6
,1435-5655,10.1007/s00146-024-02057-0,article,,Will humans ever become conscious? Jiddu Krishnamurti’s thought about AI as a fresh perspective on current debates,Shai Tubali,,https://doi.org/10.1007/s00146-024-02057-0,2024,10.1007/s00146-024-02057-0
,1435-5655,10.1007/s00146-024-02079-8,article,,Stochastic contingency machines feeding on meaning: on the computational determination of social reality in machine learning,Richard Groß,,https://doi.org/10.1007/s00146-024-02079-8,2024,10.1007/s00146-024-02079-8
,1435-5655,10.1007/s00146-024-02088-7,article,,Galactica’s dis-assemblage: Meta’s beta and the omega of post-human science,"Nicolas Chartier-Edwards, Etienne Grenier, Valentin Goujon",,https://doi.org/10.1007/s00146-024-02088-7,2024,10.1007/s00146-024-02088-7
,1435-5655,10.1007/s00146-024-02152-2,article,,On the individuation of complex computational models: Gilbert Simondon and the technicity of AI,Susana Aires,,https://doi.org/10.1007/s00146-024-02152-2,2024,10.1007/s00146-024-02152-2
,1435-5655,10.1007/s00146-025-02190-4,article,,Researchers’ perceptions of automating scientific research,David M. Douglas,,https://doi.org/10.1007/s00146-025-02190-4,2025,10.1007/s00146-025-02190-4
,1435-5655,10.1007/s00146-025-02222-z,article,,"How can we improve the diversity of archival collections with AI? Opportunities, risks, and solutions","Lise Jaillant, Olivia Mitchell, Eric Ewoh-Opu, Maribel Hidalgo Urbaneja",,https://doi.org/10.1007/s00146-025-02222-z,2025,10.1007/s00146-025-02222-z
,1435-5655,10.1007/s00146-025-02253-6,article,,"Engineering the mind: the arts of memory, writing literature and economic agency in digital technology",Mats Haraldsen,,https://doi.org/10.1007/s00146-025-02253-6,2025,10.1007/s00146-025-02253-6
,1435-5655,10.1007/s00146-025-02265-2,article,,Synthetic media and computational capitalism: towards a critical theory of artificial intelligence,David M. Berry,,https://doi.org/10.1007/s00146-025-02265-2,2025,10.1007/s00146-025-02265-2
,1435-5655,10.1007/s00146-025-02297-8,article,,Algorithmic narrativity as a new narrative mode,Tolulope Oke,,https://doi.org/10.1007/s00146-025-02297-8,2025,10.1007/s00146-025-02297-8
416,1618-2650,10.1007/s00216-024-05239-3,article,3645--3663,Reliable biological and multi-omics research through biometrology,"Lianhua Dong, Yu Zhang, Boqiang Fu, Claudia Swart, Huayan Jiang, Yahui Liu, Jim Huggett, Robert Wielgosz, Chunyan Niu, Qianyi Li, Yongzhuo Zhang, Sang-Ryoul Park, Zhiwei Sui, Lianchao Yu, Yangyang Liu, Qing Xie, Hongfu Zhang, Yueyuxiao Yang, Xinhua Dai, Leming Shi, Ye Yin, Xiang Fang",16,https://doi.org/10.1007/s00216-024-05239-3,2024,10.1007/s00216-024-05239-3
48,1432-5241,10.1007/s00266-024-03910-9,article,2561--2572,Greater Risk Taking in Cosmetic Surgery Acceptance and History: An Experimental and Computational Study,"Paul Mark Jenkinson, Elena Panagiotopoulou, Athanasios Koukoutsakis, Aikaterini Fotopoulou",13,https://doi.org/10.1007/s00266-024-03910-9,2024,10.1007/s00266-024-03910-9
74,1432-1009,10.1007/s00267-024-02035-8,article,916--927,Competency in invasion science: addressing stagnation challenges by promoting innovation and creative thinking,"Phillip J. Haubrock, Irmak Kurtul, Rafael L. Macêdo, Stefano Mammola, Ana Clara S. Franco, Ismael Soto",5,https://doi.org/10.1007/s00267-024-02035-8,2024,10.1007/s00267-024-02035-8
34,1432-1467,10.1007/s00332-024-10060-4,article,79,Breaking Consensus in Kinetic Opinion Formation Models on Graphons,"Bertram Düring, Jonathan Franceschi, Marie-Therese Wolfram, Mattia Zanella",4,https://doi.org/10.1007/s00332-024-10060-4,2024,10.1007/s00332-024-10060-4
43,1882-7055,10.1007/s00354-024-00287-w,article,4,Towards a Collaborative Game Designer Using the CCDSF Framework,"Jesús Pérez-Romero, Wendy Aguilar",1,https://doi.org/10.1007/s00354-024-00287-w,2024,10.1007/s00354-024-00287-w
,1432-2315,10.1007/s00371-024-03699-3,article,,EduCodeVR: VR for programming teaching through simulated farm and traffic,"Zean Jin, Yulong Bai, Wei Song, Qinghe Yu, Xiaoxin Yue",,https://doi.org/10.1007/s00371-024-03699-3,2024,10.1007/s00371-024-03699-3
