Type of reference,First Author,Secondary Author,Tertiary Author,Subsidiary Author,Abstract,Author Address,Accession Number,Author,Location in Archives,This field maps to T2 for all reference types except for Whole Book and Unpublished Work references.,Custom 1,Custom 2,Custom 3,Custom 4,Custom 5,Custom 6,Custom 7,Custom 8,Caption,Call Number,This field can contain alphanumeric characters.,Title of unpublished reference,Place Published,Date,Name of Database,DOI,Database Provider,Editor,End Page,Edition,Reference ID,Issue number,Periodical name: user abbreviation 1.,Alternate Title,Periodical name: standard abbreviation.,Journal name,Keywords,Link to PDF.,Link to Full-text.,Related Records.,Image(s).,Language,Label,Website Link,Number,Miscellaneous 2.,Type of Work,Notes,Abstract.,Number of Volumes,Original Publication,Publisher,Publishing Place,Publication year (YYYY/MM/DD),Reviewed Item,Research Notes,Reprint Edition,Section,ISBN/ISSN,Start Page,Short Title,Primary Title,Secondary Title,Tertiary Title,Translated Author,Title,Translated Title,User definable 1.,User definable 2.,User definable 3.,User definable 4.,User definable 5.,URL,Volume number,Published Standard number,Primary Date,Access Date,End of Reference,""
JOUR ,,,,,"The digital paradigm requires efficient methods of teaching CAAD tools in architecture schools. With the trend of enhancing the design process with parametric methods, linking architecture with other knowledge areas, such as mathematics, is gaining in importance. Equipping future architects with skills in algorithmic thinking is yet another challenge for education. This paper describes the workflow of an early-stage course addressing this challenge, conducted at the Warsaw University of Technology’s Faculty of Architecture. The course focuses on the students’ ability to construct complex geometric forms in the digital environment by introducing an extensive analytic phase. The students study the geometric foundations of real-world architectural cases and translate them into parametric models. Later, they explore the potential of the generated solutions space. The results compare the course’s teaching efficiency with the outcomes of past courses covering similar subjects. ",,,"Słyk, Jan ",,,,,,,,,,,,,,,,2022/06/01 ,,10.1007/s00004-022-00603-1 ,,,522 ,,Ostrowska-Wawryniuk2022 ,2 ,,,,Nexus Network Journal ,,,,,,,,,,,,,,,,,,2022 ,,,,,1522-4600 ,503 ,,,,,,Form Follows Parameter: Algorithmic-Thinking-Oriented Course for Early-stage Architectural Education ,,,,,,,https://doi.org/10.1007/s00004-022-00603-1 ,24 ,,,,   ,
JOUR ,,,,,"Computational design and shape grammars hold a growing appeal in the architectural curricula. This paper aims to assess shape grammars as a visual teaching method that integrates manual exploration based on “learning by doing” in early education curricula without digital software. As a primary outcome of a visual design course at the British university in Egypt, four self-structured pavilions are fabricated by first-year architecture students. Experimentation occurs through a process of visual computing which develops a deeper understanding of material qualities. A comparison of design parameters is conducted through hands-on experiments that include design principles, unit transformations, connection types, assembly process, and functional aspects. The paper examines the skills that students acquired during the course. This study concludes that by applying shape grammars in design studios, students are adequately prepared at the foundational level for their transition towards learning computational design. ",,,"El-Mahdy, Deena ",,,,,,,,,,,,,,,,2022/09/01 ,,10.1007/s00004-022-00608-w ,,,716 ,,El-Mahdy2022 ,3 ,,,,Nexus Network Journal ,,,,,,,,,,,,,,,,,,2022 ,,,,,1522-4600 ,701 ,,,,,,Learning by Doing: Integrating Shape Grammar as a Visual Coding Tool in Architectural Curricula ,,,,,,,https://doi.org/10.1007/s00004-022-00608-w ,24 ,,,,   ,
JOUR ,,,,,"This paper proposes a hybrid design technique for precast panels that incorporates soft-material formwork, computational form-finding, and the Truchet tiling concept. Initial experiments were conducted to investigate how flexible membranes, such as polyester, can create natural tension shapes that rigid molds cannot achieve. Compared to traditional metal and wooden formworks, fabric formwork offers greater sustainability due to its low cost, rapid fabrication, and ease of transport, making it a viable alternative for fabricating Truchet tile-based panels. The panels will be generated using regular polygons with multiple random curves inside, creating infinitely repeatable patterns. To simulate the continuity of the bump deflection, a parametric design script will be developed in conjunction with the concept of medial axis. Ultimately, an efficient and effective method of fabric formwork based on Truchet tiles will serve as a practical reference for future research. ",,,"Lin, Jia-Yang ",,,,,,,,,,,,,,,,2023/12/01 ,,10.1007/s00004-023-00657-9 ,,,885 ,,Wagiri2023 ,4 ,,,,Nexus Network Journal ,,,,,,,,,,,,,,,,,,2023 ,,,,,1522-4600 ,867 ,,,,,,Application of Fabric Formwork based on a Truchet Tiling Pattern for Planar Surfaces ,,,,,,,https://doi.org/10.1007/s00004-023-00657-9 ,25 ,,,,   ,
JOUR ,,,,,"This study presents a Translation of Form (ToF) model aimed at fostering algorithmic thinking and computational design skills among architectural students. Using Python within Rhino software, students translated architectural formal compositions into algorithmic representations through code writing. The model guided students through steps such as analyzing architectural geometry, creating algorithmic flows, and developing scripts to automatically generate form variations. Challenges arose from students' limited familiarity with Textual Programming Languages (TPLs) and the requisite mathematical knowledge for detailed geometric analyses. Despite initial hurdles, students exhibited genuine algorithmic thinking, successfully creating algorithmic representations of architectural forms. Survey results underscored the model's efficacy in promoting research skills while offering a fresh perspective on architectural form. The study emphasizes the vital role of integrating computational design skills into architectural education early on, equipping students with essential tools for innovative design exploration. ",,,"Tan, Funda ",,,,,,,,,,,,,,,,2024/12/01 ,,10.1007/s00004-024-00778-9 ,,,924 ,,Tan2024 ,4 ,,,,Nexus Network Journal ,,,,,,,,,,,,,,,,,,2024 ,,,,,1522-4600 ,897 ,,,,,,Translation of Form: a Model for Teaching Design Coding to Undergraduate Students ,,,,,,,https://doi.org/10.1007/s00004-024-00778-9 ,26 ,,,,   ,
JOUR ,,,,,"In recent years, the gastronomy industry has increased the demand for rigorous and reliable tools to evaluate culinary creativity; but conceptually, creativity is difficult to define and even more difficult to measure. In this paper, we propose an AI-based method for assessing culinary product creativity by using the renowned high cuisine restaurant elBulli as a case study to understand the proliferation and scale of an entity’s creativity and innovation. To achieve so, we trained a Random Forest Classifier to assess the level of creativity within the restaurant’s recipes. The application of this model to elBulli’s recipes allowed us to answer the following questions: how can creativity in a culinary product be characterized? Is there a single trait that is the key to culinary creativity? Is the creative culinary product a truly original outcome? Our key findings are (1) although ingredients and preparation techniques prove to be suitable attributes to characterize creativity in a recipe, none of them nor an elite subset clearly identifies creative cuisine, (2) new products are not radically novel with respect to previous creations, (3) creativity is more related to new uses and combinations of existing ingredients and techniques rather than to new ingredients or techniques. We believe that our method can find practical applications in supporting and guiding the creation of culinary products, identifying their strengths and weaknesses, and helping restaurants maintain a sustainable competitive advantage. ",,,"Suarez, Juan Luis ",,,,,,,,,,,,,,,,2022/03/01 ,,10.1007/s00146-021-01183-3 ,,,353 ,,Jimenez-Mavillard2022 ,1 ,,,,AI & SOCIETY ,,,,,,,,,,,,,,,,,,2022 ,,,,,1435-5655 ,331 ,,,,,,A computational approach for creativity assessment of culinary products: the case of elBulli ,,,,,,,https://doi.org/10.1007/s00146-021-01183-3 ,37 ,,,,   ,
JOUR ,,,,,"Initially coined by Weizenbaum in 1976, ‘alien' thought refers to the radical difference with which ‘thinking machines’ approach the process of thinking. The contemporary paradox of over-determination and indeterminacy—caused largely by algorithmic decision-making in the civic realm—makes these differences both more entangled and more difficult to navigate. In this essay, I trace over-determination to Leibniz and Turing’s axiomatic procedures and to instrumental rationality, and I trace indeterminacy to the mid-twentieth century co-development of computers and neurosciences to advance the following proposition: understanding alien thought requires understanding incomputability, temporal swarming, and inscriptive-significational errance. Understanding these phenomena in turn requires understanding thinking by doing, distributed thinking, and ontological indeterminacy. All are present in machinic operations as well as in the twentieth century experimental artistic practices of artists such as Duchamp, Cage, and Xu. These practices rely on indeterminate procedures and function as diagrammatic machines. A diagrammatic machine is neither abstract nor particular; neither an idea that is determining in the supreme instance, nor an infrastructure that is determining in the last instance, but rather instantiates a real yet to come (Deleuze and Guattari in A thousand plateaus: capitalism and schizophrenia: Trans. Massumi B, University of Minnesota Press, Minneapolis, 1987). In this essay, indeterminate artistic practices are used as an entry into alien thought and its correlates—infinity and complexity—by way of aesthetic analogy. ",,,"Lushetich, Natasha ",,,,,,,,,,,,,,,,2022/12/01 ,,10.1007/s00146-021-01252-7 ,,,1425 ,,Lushetich2022 ,4 ,,,,AI & SOCIETY ,,,,,,,,,,,,,,,,,,2022 ,,,,,1435-5655 ,1411 ,,,,,,How many angels can dance on the head of a pin? Understanding ‘alien’ thought ,,,,,,,https://doi.org/10.1007/s00146-021-01252-7 ,37 ,,,,   ,
JOUR ,,,,,"In the face of massively increased technological complexity, it is striking that so many of today’s computational and networked things follow design ideals honed decades ago in a much different context. These strong ideals prescribe a presentation of things as useful tools through design and a withdrawal of aspects of their functionality and complexity. Beginning in the mid-twentieth century, we trace this ‘withdrawal program’ as it has persisted in the face of increasing computational complexity. Currently, design is in a dilemma where computational products can be seen as brilliantly designed and engaging to use yet can also be considered very problematic in how they support hidden agendas and often seem less than trustworthy. In this article, we analyse factors shaping this emergent ethical dilemma and reveal the concept of a widening rift between what computational things actually are and do and the ways in which they are presented as things for use. Against this backdrop, we argue that there is a need for a new orientation in design programs to adequately address this deepening rupture between the aesthetics and ethics in the design of computational things. ",,,"Wiltse, Heather ",,,,,,,,,,,,,,,,2023/02/01 ,,10.1007/s00146-021-01279-w ,,,243 ,,Hauser2023 ,1 ,,,,AI & SOCIETY ,,,,,,,,,,,,,,,,,,2023 ,,,,,1435-5655 ,227 ,,,,,,The widening rift between aesthetics and ethics in the design of computational things ,,,,,,,https://doi.org/10.1007/s00146-021-01279-w ,38 ,,,,   ,
JOUR ,,,,,"This article examines the connecting lines between the Chilean Project Cybersyn’s interface design, the German Hochschule für Gestaltung Ulm and its cybernetically inspired approaches towards information design, and later developments in interaction design and the emerging field of Human–Computer Interaction in the USA. In particular, it first examines how early works of designers Tomàs Maldonado and Gui Bonsiepe on operative communication, that is, language-independent (and thus internationalizable) pictogram systems and visual grammars for computational systems, were intertwined with attempts to ground industrial design in a scientific methodology, to address an era of computing machines, and to develop the concept of the interface as a heuristic for a renovated design thinking. It thereby also reconstructs further historical vanishing lines—e.g. the pictorial grammar of Otto Neurath’s ISOTYPE—of the development of the ‘ulm model’ of design. Second, the article explores how an apprehension of first-order cybernetics in West Germany—e.g. represented by hfg ulm staff like Max Bense or Abraham Moles, merged with Cybersyn’s second-order cybernetics ideas, as represented by Stafford Beer’s Viable System Model. And third, it asks about a further conceptual turn regarding an understanding of design which resulted in a focus on communicative interaction, e.g. in the later works of Fernando Flores and Terry Winograd on HCI, or in Beer’s Team Syntegrity approach. As an effect, the text will explore a specific and international network of cybernetic thinking between Latin America, Europe, and North America which emerged around Project Cybersyn, and which was occupied with questions of HCI, a democratization of design, and intelligence amplification. ",,,"Vehlken, Sebastian ",,,,,,,,,,,,,,,,2022/09/01 ,,10.1007/s00146-021-01346-2 ,,,1152 ,,Vehlken2022 ,3 ,,,,AI & SOCIETY ,,,,,,,,,,,,,,,,,,2022 ,,,,,1435-5655 ,1131 ,,,,,,"Operative communication: project Cybersyn and the intersection of information design, interface design, and interaction design ",,,,,,,https://doi.org/10.1007/s00146-021-01346-2 ,37 ,,,,   ,
JOUR ,,,,,"Algorithmic systems that provide services to people by supporting or replacing human decision-making promise greater convenience in various areas. The opacity of these applications, however, means that it is not clear how much they truly serve their users. A promising way to address the issue of possible undesired biases consists in giving users control by letting them configure a system and aligning its performance with users’ own preferences. However, as the present paper argues, this form of control over an algorithmic system demands an algorithmic literacy that also entails a certain way of making oneself knowable: users must interrogate their own dispositions and see how these can be formalized such that they can be translated into the algorithmic system. This may, however, extend already existing practices through which people are monitored and probed and means that exerting such control requires users to direct a computational mode of thinking at themselves. ",,,"König, Pascal D. ",,,,,,,,,,,,,,,,2024/02/01 ,,10.1007/s00146-022-01395-1 ,,,205 ,,König2024 ,1 ,,,,AI & SOCIETY ,,,,,,,,,,,,,,,,,,2024 ,,,,,1435-5655 ,195 ,,,,,,Challenges in enabling user control over algorithm-based services ,,,,,,,https://doi.org/10.1007/s00146-022-01395-1 ,39 ,,,,   ,
JOUR ,,,,,"This paper seeks to bypass assumptions that researchers in critical algorithmic studies and urban studies find it difficult to study algorithmic systems due to their black-boxed nature. In addition, it seeks to work against the assumption that advocating for transparency in algorithms is, therefore, the key for achieving an enhanced understanding of the role of algorithmic technologies on modern life. Drawing on applied assemblage thinking via the concept of the urban assemblage, I demonstrate how the notion of urban assemblage can work as an alternative way to explore the distributed and potential dimensions of what has been termed as Urban AI phenomena. Rather than seeing Urban AI phenomena as black-boxed, unknown and opaque, the notion of urban assemblage locates such entities within the wider contests of the city: urban places, communities and politics, where human-algorithmic relationships gather and disperse. In addition, this approach focuses on the potentialities of Urban AI phenomena—how algorithmic systems can operate differently through different aspects of the city—which can be seen to manifest new forms of resistance, collective actions and democracy. I use a case study of an algorithmic system designed to facilitate digital democracy—vTaiwan—to exemplify how assemblage methodology foregrounds the role of cities as spaces and places for exploring the democratic possibilities of algorithmic systems. This paper concludes with discussion of how the assemblage methodology contributes to serve as a bridge between critical algorithm studies and recent studies of platform urbanism. ",,,"Tseng, Yu-Shan ",,,,,,,,,,,,,,,,2023/06/01 ,,10.1007/s00146-022-01500-4 ,,,1110 ,,Tseng2023 ,3 ,,,,AI & SOCIETY ,,,,,,,,,,,,,,,,,,2023 ,,,,,1435-5655 ,1099 ,,,,,,Assemblage thinking as a methodology for studying urban AI phenomena ,,,,,,,https://doi.org/10.1007/s00146-022-01500-4 ,38 ,,,,   ,
